file,line,type,commit,author,date,time,timezone,datetime,depth,length
static\style.css,1,css,6f57420,Andres De La Puente,2025-03-20,13:02:02,-03:00,2025-03-20T13:02:02-03:00,0,6
static\style.css,2,css,6f57420,Andres De La Puente,2025-03-20,13:02:02,-03:00,2025-03-20T13:02:02-03:00,0,32
static\style.css,3,css,6f57420,Andres De La Puente,2025-03-20,13:02:02,-03:00,2025-03-20T13:02:02-03:00,0,32
static\style.css,4,css,6f57420,Andres De La Puente,2025-03-20,13:02:02,-03:00,2025-03-20T13:02:02-03:00,1,33
static\style.css,5,css,6f57420,Andres De La Puente,2025-03-20,13:02:02,-03:00,2025-03-20T13:02:02-03:00,1,48
static\style.css,6,css,6f57420,Andres De La Puente,2025-03-20,13:02:02,-03:00,2025-03-20T13:02:02-03:00,0,0
static\style.css,7,css,6f57420,Andres De La Puente,2025-03-20,13:02:02,-03:00,2025-03-20T13:02:02-03:00,0,0
static\style.css,8,css,6f57420,Andres De La Puente,2025-03-20,13:02:02,-03:00,2025-03-20T13:02:02-03:00,0,5
static\style.css,9,css,6f57420,Andres De La Puente,2025-03-20,13:02:02,-03:00,2025-03-20T13:02:02-03:00,0,41
static\style.css,10,css,6f57420,Andres De La Puente,2025-03-20,13:02:02,-03:00,2025-03-20T13:02:02-03:00,0,29
static\style.css,11,css,6f57420,Andres De La Puente,2025-03-20,13:02:02,-03:00,2025-03-20T13:02:02-03:00,0,32
static\style.css,12,css,6f57420,Andres De La Puente,2025-03-20,13:02:02,-03:00,2025-03-20T13:02:02-03:00,1,25
static\style.css,13,css,6f57420,Andres De La Puente,2025-03-20,13:02:02,-03:00,2025-03-20T13:02:02-03:00,0,0
static\style.css,14,css,6f57420,Andres De La Puente,2025-03-20,13:02:02,-03:00,2025-03-20T13:02:02-03:00,0,0
static\style.css,15,css,6f57420,Andres De La Puente,2025-03-20,13:02:02,-03:00,2025-03-20T13:02:02-03:00,0,6
static\style.css,16,css,6f57420,Andres De La Puente,2025-03-20,13:02:02,-03:00,2025-03-20T13:02:02-03:00,0,7
static\style.css,17,css,6f57420,Andres De La Puente,2025-03-20,13:02:02,-03:00,2025-03-20T13:02:02-03:00,1,32
static\style.css,18,css,6f57420,Andres De La Puente,2025-03-20,13:02:02,-03:00,2025-03-20T13:02:02-03:00,0,0
static\style.css,19,css,6f57420,Andres De La Puente,2025-03-20,13:02:02,-03:00,2025-03-20T13:02:02-03:00,0,0
static\style.css,20,css,6f57420,Andres De La Puente,2025-03-20,13:02:02,-03:00,2025-03-20T13:02:02-03:00,0,4
static\style.css,21,css,6f57420,Andres De La Puente,2025-03-20,13:02:02,-03:00,2025-03-20T13:02:02-03:00,1,33
static\style.css,22,css,6f57420,Andres De La Puente,2025-03-20,13:02:02,-03:00,2025-03-20T13:02:02-03:00,1,38
static\style.css,23,css,6f57420,Andres De La Puente,2025-03-20,13:02:02,-03:00,2025-03-20T13:02:02-03:00,1,43
static\style.css,24,css,6f57420,Andres De La Puente,2025-03-20,13:02:02,-03:00,2025-03-20T13:02:02-03:00,1,45
static\style.css,25,css,6f57420,Andres De La Puente,2025-03-20,13:02:02,-03:00,2025-03-20T13:02:02-03:00,1,57
static\style.css,26,css,6f57420,Andres De La Puente,2025-03-20,13:02:02,-03:00,2025-03-20T13:02:02-03:00,0,0
static\style.css,27,css,6f57420,Andres De La Puente,2025-03-20,13:02:02,-03:00,2025-03-20T13:02:02-03:00,0,0
static\style.css,28,css,6f57420,Andres De La Puente,2025-03-20,13:02:02,-03:00,2025-03-20T13:02:02-03:00,0,6
static\style.css,29,css,6f57420,Andres De La Puente,2025-03-20,13:02:02,-03:00,2025-03-20T13:02:02-03:00,1,26
static\style.css,30,css,6f57420,Andres De La Puente,2025-03-20,13:02:02,-03:00,2025-03-20T13:02:02-03:00,1,40
static\style.css,31,css,6f57420,Andres De La Puente,2025-03-20,13:02:02,-03:00,2025-03-20T13:02:02-03:00,1,34
static\style.css,32,css,6f57420,Andres De La Puente,2025-03-20,13:02:02,-03:00,2025-03-20T13:02:02-03:00,1,38
static\style.css,33,css,6f57420,Andres De La Puente,2025-03-20,13:02:02,-03:00,2025-03-20T13:02:02-03:00,1,34
static\style.css,34,css,6f57420,Andres De La Puente,2025-03-20,13:02:02,-03:00,2025-03-20T13:02:02-03:00,0,0
static\style.css,35,css,6f57420,Andres De La Puente,2025-03-20,13:02:02,-03:00,2025-03-20T13:02:02-03:00,0,0
